
譯ハ゜ーティーは全滅しました！{0x5}{0x0}{0xf},  0x31d
ю跪{0xf}{0xe}{0x2}盗賊の知恵を買いにきたのか？{0xd}{0xf}{0xe}{0x2}金はあるんた゛ろうな？{0xd}{0xf}{0xe}{0x2}敏捷度を上け゛ておいて{0x4}そんはないせ゛。{0xd}{0xf}{0xe}{0x2}？{0xd}{0xf}わ{0xe}{0x2}誰か回復しますか？{0xd}{0xf}{0xe}{0x2}所持金のない方は{0x4}無料て゛回復してさしあけ゛ます。{0xd}{0xf}{0xe}{0x2}神聖魔法には、{0x4}特定の神の信者にしか{0x4}使えない呪文か゛あります。{0xd}{0xf}{0xe}{0x2}最近テーフ゜をまきもと゛してくれるから{0x4}とても助かるよ。{0xd}{0xf},  0xee38
юいらない武器か゛あったら{0x4}ここに売りに来てくれ。{0xd}{0xf}{0xe}{0x2}使う技能か゛制限されないよう{0x4}武器を装備しないと{0x4}あまり意味か゛ないそ゛。{0xd}{0xf}{0xe}{0x2}必要筋力の大きいモノほと゛{0x4}能力は高いか゛、{0x4}重くなるのて゛注意しないとな。{0xd}{0xf}{0xe}{0x2}{0xd}{0xf}包{0xe}{0x2}うちにある品は{0x4}ほかて゛は手に入らないよ。{0xd}{0xf}{0xe}{0x2}いらないものは{0x4}うちか゛引き取ってやってもいいそ゛。{0xd}{0xf}{0xe}{0x2}呪歌を使うには{0x4}楽器を装備していないとた゛めた゛よ。{0xd}{0xf}{0xe}{0x2}うちの魔晶石は{0x4}魔術師キ゛ルト゛のより強力た゛よ。{0x4}買ってソンはないせ゛。{0xd}{0xf},  0xf01b
ю芋{0xe}{0x2}うちのは、強いよ。{0xd}{0xf}{0xe}{0x2}こいつらか゛いないとつらいよ。{0xd}{0xf}{0xe}{0x2}まぁ一度、やとってみなよ。{0xd}{0xf}{0xe}{0x2}うちのは、１組か゛１０人た゛よ。{0xd}{0xf},  0xf0ae
痰ファイター技能か゛使えます{0x4}{0xf}シーフ技能か゛使えます{0x4}{0xf}レンシ゛ャー技能か゛使えます{0x4}{0xf}セーシ゛技能か゛使えます{0x4}{0xf}ハ゛ート゛技能か゛使えます{0x4}{0xf}ソーサラー技能か゛使えます{0x4}{0xf}シャーマン技能か゛使えます{0x4}{0xf}フ゜リースト技能か゛使えます{0x4}{0xf}{0xc}葵以ファイター技能か゛制限されます{0x4}{0xf}シーフ技能か゛制限されます{0x4}{0xf}レンシ゛ャー技能か゛制限されます{0x4}{0xf}セーシ゛技能か゛制限されます{0x4}{0xf}ハ゛ート゛技能か゛制限されます{0x4}{0xf}ソーサラー技能か゛制限されます{0x4}{0xf}シャーマン技能か゛制限されます{0x4}{0xf}フ゜リースト技能か゛制限されます{0x4}{0xf}{0x2}{0xe}{0x2}{0xf},  0x108ef
艪墾ＴＨＩＳ　ＧＡＭＥ　ＰＡＫ　ＩＳ　ＮＯＴ{0x3}{0x6}{0x5}ＤＥＳＩＧＩＮＥＤ　ＦＯＲ　ＹＯＵＲ{0x3}{0x9}{0x7}ＳＵＰＥＲ　ＦＡＭＩＣＯＭ　{0x3}{0xe}{0x8}ＯＲ　{0x3}{0xb}{0x9}ＳＵＰＥＲ　ＮＥＳ．{0x3}{0x13}{0xb}Ｔ＆Ｅ　ＳＯＦＴ{0xf},  0x11469
悴Ｌ墾狽操や,  0x114ab
墾譯忸{0x0}忝{0x0}廾{0xa}{0x1c}{0x5}{0x5}{0x0},  0x114ea
操虚く妹や,  0x1152b
墾狽艪窒宣艪{0x15}{0x1c},  0x11570
譯ぇ弘{0xa}{0xa},  0x1157f
ヵ哩北列{0x0}{0x0}{0x2}{0x2}{0x11}{0x6}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0xd}{0x5}{0x1}ソート゛・ワールト゛　ＳＦＣ２{0x5}{0x0}{0x3}{0x5}{0x5}冒険に旅立つ{0x4}キャラクターを作る{0x4}冒険の記録を消す{0x4}冒険の記録をコヒ゜ーする{0xf}{0x1}{0x4}{0x4}{0x4}{0x5}{0xc}{0x4}{0x7}{0xc}{0x4}{0x9}{0x8}{0x4}{0xb},  0x1161a
譯キャラクターを作る{0xf}柚予{0x9}{0x1}{0xc}{0x17}{0x7}{0x0}{0x1}{0x9}{0x1}{0x13}{0x17}{0x7}{0x0}{0x1}{0xf}{0x9}{0x1}{0x5}{0x17}{0x7}{0x0}{0x1}{0x9}{0x1}{0x13}{0x17}{0x7}{0x0}{0x1}{0xf}{0x9}{0x1}{0x5}{0x17}{0x7}{0x0}{0x1}{0x9}{0x1}{0xc}{0x17}{0x7}{0x0}{0x1}{0xf},  0x1176b
艪窒掠{0x1}{0x0}譯{0x2}冒険の記録を消す{0xf},  0x117f1
か譬ｐ{0x1e},  0x1180e
乘艪窒掠{0x1}{0x0}譯{0x2}冒険の記録をコヒ゜ーする{0xf}ｆ{0x0}攪,  0x1185a
譬ｐ,  0x1186d
掠艪窒廊{0x2}コヒ゜ー先を選択してくた゛さい{0xf}{0x2}{0x5}{0x2}冒険か゛記録されています！{0x5}{0x0}{0xf}{0x2}{0x5}{0x2}冒険か゛記録されていません！{0x5}{0x0}{0xf},  0x118ff
慌怎アイテムをすてる{0x4}装備をすてる{0xf}{0x1}{0x3}{0x4}{0x3}{0x2}{0x8}{0x3}{0x4},  0x125a7
冊彜逗驛,  0x125bf
肴かュ,  0x125e3
項か焉艪蔔ひ,  0x12650
逗ぇ拘{0xa}{0xa},  0x1266c
咲繝,  0x12678
か芋黹個の装備か゛あります{0x4}何をすてますか？{0x0}{0x0}{0x0}{0x1}{0x1}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x9}{0x0}{0xf}{0x1}{0xf}{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x1}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x6}{0xf}{0xe}{0x2}を{0x4}すてますか？{0xf},  0x12734
艪窒{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x4}{0x5}{0x2}すてる装備か゛ありません！{0x5}{0x0}{0xf},  0x12781
廾逗,  0x1278a
く艪窒,  0x127bf
弘荅畔冒険の記録{0x4}隊列変更{0x4}メッセーシ゛を読み返す{0x4}持ち物をすてる{0x4}{0x5}{0x2}説明{0x5}{0x0}{0xf},  0x1285f
逗Ｅ奄艪窒{0x8}{0x18}{0x1f},  0x128a4
疚フ゛ライト{0x3}{0x4}{0x7}{0xe}{0x2}ウィント゛ウカラー{0x3}{0x4}{0x10}{0xe}{0x2}ミューシ゛ック{0xe}{0x1}{0x0}{0xe}{0x2}{0x0}{0x3}{0x8}{0x4}{0x3}{0x8}{0x9}{0x3}{0x8}{0xb},  0x12935
洒等頃盜湍盜渫廾逗,  0x12aca
く艪窒,  0x12b02
弘スヒ゜ート゛{0x3}{0x4}{0x5}ハ゛トルモート゛{0x3}{0x4}{0xa}ハート゛オフ゜ション{0x3}{0x0}{0x5}{0x1}サイコロハ゛トル　{0x4}テキストハ゛トル　{0x4}アクションハ゛トル{0x5}{0x0}{0xf},  0x12bc0
ＡＡＡ弉逗,  0x12cb0
く皴艪窒{0x8}{0x18}皴蟆{0x1},  0x12cf5
慌移動スヒ゜ート゛{0x3}{0x4}{0x7}会話メッセーシ゛スヒ゜ート゛{0x3}{0x4}{0xc}戦闘メッセーシ゛スヒ゜ート゛{0x3}{0x0}{0x5}{0x1}ホ゛タン待ち　　あり{0x4}ウィント゛表示　なし{0x5}{0x0}{0xe}{0x1}{0x0}{0xe}{0x2}{0x0}{0x3}{0x8}{0x4}{0x3}{0x8}{0x9}{0x3}{0x8}{0xe}{0xf}{0xc},  0x12de3
盜沽ＡＡＡ襭逗,  0x12e88
かΡ謔,  0x12eb5
艪窒豌{0x1},  0x12ec7
坑坑┛{0x1}{0x4}{0x4}{0x3}{0xc}{0xc}{0x3}{0xe}{0xc}{0x3}{0x10}{0x8}{0x3}{0x12}{0x0}{0x0}{0x5}{0xb}{0x1}{0x1}{0x3}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0xa}{0x17}{0xb}{0x3}{0x4}{0xc}サイコロハ゛トル{0x3}{0x4}{0xe}テキストハ゛トル{0x3}{0x4}{0x10}アクションハ゛トル{0x3}{0x0}{0x5}{0x2}ハ゛トルアイコン説明{0x5}{0x0}{0x0}{0x0}{0x2}{0x2}{0x15}{0x8}{0x1}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0xa}{0xf},  0x12f83
Ａ逗Ｅ謔,  0x12fe3
艪窒饒{0x1}{0x7}{0x4}{0x3}{0xa}{0xc}{0x3}{0xc}{0xc}{0x3}{0xe}{0xc}{0x3}{0x10}{0xc}{0x3}{0x12}{0xc}{0x3}{0x14}{0x8}{0x3}{0x16}{0x0}{0x0}{0x4}{0xa}{0x1}{0x1}{0x3}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x8}{0x17}{0x11}自動的成功{0x4}自動的失敗{0x4}クリティカルヒット{0x4}効果なし{0x4}毒{0x4}病気{0x4}呪い{0x4}{0x0}{0x0}{0x2}{0x2}{0x15}{0x6}{0x1}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x8}{0xf},  0x1306e
ュぇ晴ｅ,  0x13085
Ａ棆,  0x13092
暫暫暫暫暫弌暫埖竺,  0x13122
暫ュぇｅＡ岾,  0x13159
卍堋拶{0x10},  0x13169
穐砂事,  0x13177
竹争棲ッ{0x4}{0x11}{0x4}{0x10},  0x1318e
蚋檀嘶{0x10},  0x131a6
檀嘶埀清{0x4}{0x11}{0x10}ッ{0x10}{0x11},  0x131e2
賜埀権埀清{0x10},  0x13213
弉逗,  0x13221
く艪窒,  0x13256
慌種族の説明{0x4}技能の説明{0x4}能力値の説明{0xf},  0x132bb
逗Ｅ謔,  0x132e7
艪窒饒{0x2}{0x8}{0x5}{0x3}{0xa}{0x6}{0xc}{0xa}{0xd}{0x3}{0xc}{0xe}{0xc}{0xc}{0xd}{0x3}{0xe}{0xe}{0xc}{0xe}{0xd}{0x3}{0x10}{0xe}{0xc}{0x10}{0xd}{0x3}{0x12}{0xe}{0xc}{0x12}{0xd}{0x3}{0x14}{0xe}{0xc}{0x14}{0xd}{0x3}{0x16}{0xe}{0xc}{0x16}{0x9}{0x3}{0x18}{0xa}{0xc}{0x18}{0x0}{0x0}{0x4}{0xa}{0x1}{0x1}{0x3}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x8}{0x17}{0x13}攻撃力{0x4}打撃力{0x4}ｋｒｉ値{0x4}追加ｄｍ{0x4}回避力{0x4}防御力{0x4}ｄｍ減少{0x4}経験点{0x3}{0xd}{0xa}器用度{0x4}敏捷度{0x4}知力{0x4}筋力{0x4}生命力{0x4}精神力{0x4}生命抵抗力{0x4}精神抵抗力{0x0}{0x0}{0x2}{0x2}{0x15}{0x6}{0x1}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x8}{0xf},  0x133c9
官官官廾Ｌレヘ゛ル{0x4}攻撃力{0x4}打撃力{0x4}ｋｒｉ値{0x4}追加ｄｍ{0x4}回避力{0x4}防御力{0x4}ｄｍ減少{0x4}{0xe}{0x1}{0x0}Ｇ{0x4}{0x0}{0x3}{0xc}{0x8}{0xb}{0x12}{0x0}{0x0}{0x0}{0x0}{0x1}{0x3}{0x2}{0x0}{0x2}{0xc}{0xb}{0x12}{0x3}{0x0},  0x140b9
器用度{0x4}敏捷度{0x4}知　力{0x4}筋　力{0x4}生命力{0xe}{0x1}{0x0}ＨＰ{0xe}{0x1}{0x4}精神力{0xe}{0x1}{0x0}ＭＰ{0xe}{0x1}{0x4}生命抵抗力{0x4}精神抵抗力{0x4}経験点{0x4}技能なし{0xf},  0x14122
ＬＬ冒険を記録しますか？{0x5}{0x0}{0xf}{0x4}{0x2}{0x5}{0xc}{0x4}{0x7}{0xf}{0x4}{0x6}{0x12}{0x4}{0x0}{0x0}{0x0}{0x9}{0xc}{0x6}{0xb}{0xf}{0x6}{0xa}{0x12}{0x6}{0x0}{0x0}{0x0}{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x8}{0x5}{0x2}冒険を記録しますか？{0x5}{0x0}{0x3}{0x4}{0x4}ロート゛　　　１　２　３{0x4}セーフ゛　　　１　２　３{0xf},  0x149b8
ｐ菲猝{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x4}{0x5}{0x2}冒険を記録しました！{0x5}{0x0}{0xf},  0x14a0f
猝冒険{0x6}{0x15}{0x1c}{0x0}{0x1}に記録て゛きません！{0x5}{0x0}{0xf},  0x14a4c
ｐか猝陲{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x4}{0x5}{0x2}冒険を復帰しました！{0x5}{0x0}{0xf},  0x14aa3
猝冒険{0x6}{0x15}{0x1c}{0x0}{0x1}は復帰て゛きません！{0x5}{0x0}{0xf}逗{0x1a}{0x6}今{0x0}{0x0},  0x14af0
艪窒,  0x14afe
アイテム　　ステータス{0x4}魔法　　　　システム{0x4}装備変更　　オフ゜ション{0xf},  0x15c6e
驍ぇ広{0xa},  0x15ca9
釛塔伽Η〒渝キ,  0x15cf3
淞Ｌや{0x15}{0x0},  0x15d54
淞Ｌ韋逗艪窒,  0x15df4
か┣誰を入れ換えますか？{0xf}{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x4}{0x5}{0x2}一人て゛は隊列変更て゛きません！{0x5}{0x0}{0xf},  0x15e6a
　０１２３４５６７８９＋−×／＝ＡＢＣＤＥＦＧＨＩＪＫＬＭＮＯＰＱＲＳＴＵＶＷＸＹＺ．：　　　＆あいうえおかきくけこさしすせそたちつてとなにぬねのはひふへほまみむめもやゆよらりるれろわをんぁぃぅぇぉっゃゅょアイウエオカキクケコサシスセソタチツテトナニヌネノハヒフヘホマミムメモヤユヨラリルレロワヲンァィゥェォッャュョヵヶ゛゜ー〜・…、。！？（）「」『』一二三四五六七八九十水晶手人間何見行出村知長入力使神霊聞魔法冒険仕事言私物殺話来様奴者上下左右大中小多少高低重軽前後太細男女今思方屋球持取盗賊部死師受遺跡気調助旅立作記録消未用名種族選択育性別器度敏捷筋生命精保有技能経験点所金蛮悪党狩般市民商学傭兵司祭呪騎士貴歌信仰先指定装備変更楽古代語聖敵遭遇仲自分費対象拡達成値昇続時待機攻撃移動位置追加回避防御抵抗打減両胴体他制限個本隊列読返誰会戦闘換決的功失敗効果亭術殿武具店奇港付官完全復石化解除活購買売恵宿泊集短剣片弓矢修正守教文祝福寄進遂件導心必要帰得偉義共護最場地炎風光闇植昏倒亡毒影響説明飛危開鍵残念表頭良強求ｋｒｉｄｍａｔ率順総演奏唱均至秩序認否為然態想扉投射可判糸玉薬像目標範囲確実延押異算踊　　　　　　　　　　　　卿渓滝廃試若再州匹閉好透鉄吟詩綱尾幹鍛冶注牧巨諸侵示直談任詳覚接契農魂壁祈芸益職疫昼稼鎖曲準妻釈特委権専登層毎望断丘穴払協相張引料符檀声途雄木谷向岸根霧急森休連主公乗階段夜竜宝珠台座周感発世去外詰輪数酒口運病身通年貸夕食放家図渡色川洞橋路岩落呼意味笑裂合牢逃賓席賞由着音草込彼姿郊建娘葉切元暗横組足西北東近道王国当案内理早船底支流住現常秘安罪借正迷街同幻塚字志半眠境月奥狂怒送山日団裏捕犬子空耳質戸勝板妖恐不滅鉱査怪退治黒考期野顔礼客密室犯印幽遊無馬車故品関係倉庫荷皮工忍報告書満彫番以令封側箱辺研究兄務朝伯爵反乱妙情紙混計画起差君配界我絵問題彩居源樹灰産量次南利苦員傷略奪警優負原広予業館堀井百郷歩願因真窟探紋章虹荒伝島交結例酬謝資格誉友価白状約束賢院棒固役速新杖額陸触雨儀式壁愛幸寸恋夫縛僧侶納識町針争邪都初刀週材沖局面怖鬼各衛捜庭証在弱海門欲走転副液終湖到林旧血夢陛首深習染美父親衣昔静援禁催匠際糧園招倍勇敢織土属肉平母壇花笛券角万陽婚墓浄城余凶暴聴視停止睡老答墜瞳始　詞容宮峡胞砂浴陣害虫巻絡頂与火氷雲嵐軍財衆坂電爆酸即　永遠震冷凍波熱温健康存脱和々銀獄赤賭息吹悲誕沌営破壊暦興域整英労供依頼造寝吸燃晩憎救波讐鳴沼　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　佳限座実沼逝詑賃涜搬並迷梁仟丗埖爍發筌网茴蝪譴逎隍{0x0}{0x0},  0x17687
騾メッセーシ゛を読み返します{0xf}{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x6}{0x5}{0x2}読み返すメッセーシ゛か゛{0x4}ありません！{0x5}{0x0}{0xf},  0x17c0e
ぅ”,  0x17c20
”Ｉ＜＜{0x0}{0x0}{0x0}{0x0}塁{0x0},  0x1804e
＜ｃ{0x0}在{0x0}伍{0x0}{0x0}熄{0x0}{0xa}瘴{0x0}瘴{0x0},  0x18072
＜＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0},  0x180a6
＜＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}{0x1e}刮{0x0},  0x180ea
＜＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0}＜{0x0},  0x181a2
痰痰は{0x4}移動中に使えません！{0xf}{0xe}{0x2}は{0x4}戦闘中に使えません！{0xf}{0xe}{0x2}は{0x4}使えないアイテムて゛す！{0xf}{0xe}{0x2}は{0x4}ここて゛は使えません！{0xf}{0x2}{0xf},  0x18303
很個のアイテムか゛あります{0x4}何をすてますか？{0xf}{0x9}{0x4}{0x17}{0x11}{0x2}{0x0}{0x1}{0xf}{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x1}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x6}{0xf}{0xe}{0x2}を{0x4}すてますか？{0xf},  0x19d5e
装備は{0x4}これ以上持てません！{0x5}{0x0}{0xf}{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x4}何かすてますか？{0xf}{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x8}{0x5}{0x2}{0xf},  0x1a3a1
の精神力か゛たりません！{0x5}{0x0}{0xf},  0x1c121
目標の拡大{0x4}{0xf}範囲の拡大{0x4}{0xf}タ゛メーシ゛の確実性{0x4}{0xf}持続時間の延長{0x4}{0xf}達成値の上昇{0x4}{0xf}分ける精神力{0x4}{0xf}{0x0}{0x0}{0xb}{0x4}{0x1}{0x1}{0x3}{0x0}{0x0}{0x1}{0x0}{0x2}消費点{0x3}{0x5}{0x6}{0xf},  0x1c86b
醢楽器を装備していません！{0x4}{0xf}スタッフを装備していません！{0x4}{0xf}両手か゛ふさか゛っています！{0x4}{0xf}ヨロイて゛制限されています！{0x4}{0xf}移動中に呪歌は使えません！{0x4}{0xf}{0x0}{0x0}{0x2}{0x2}{0x1}{0x1}{0x3}{0x0}{0x0}{0x0}{0x1}{0x0}{0x2}{0x8}{0x1}{0x1}{0x17}{0x6}{0xf},  0x1ce70
△陪陪,  0x1ceb9
